Core, 0
Cumulative Cycles, 20660603            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.96803
Periodic Cycles, 10259806            
Periodic Instructions, 10000000            
Periodic IPC, 0.97468

BTB_ON_PATH_MISS_count,         26201
BTB_ON_PATH_MISS_pct,        0.272
BTB_ON_PATH_MISS_total_count,         49035
BTB_ON_PATH_MISS_total_pct,        0.253

BTB_ON_PATH_HIT_count,       9617535
BTB_ON_PATH_HIT_pct,       99.728
BTB_ON_PATH_HIT_total_count,      19364187
BTB_ON_PATH_HIT_total_pct,       99.747
BTB_ON_PATH_HIT_sum_count,       9643736
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,      19413222
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         1.00
BTB_ON_PATH_HIT_stddev,         1.00
BTB_ON_PATH_HIT_total_mean,         1.00
BTB_ON_PATH_HIT_total_stddev,         1.00

BTB_OFF_PATH_MISS_count,         46877
BTB_OFF_PATH_MISS_pct,       29.621
BTB_OFF_PATH_MISS_total_count,        100332
BTB_OFF_PATH_MISS_total_pct,       32.429

BTB_OFF_PATH_HIT_count,        111378
BTB_OFF_PATH_HIT_pct,       70.379
BTB_OFF_PATH_HIT_total_count,        209057
BTB_OFF_PATH_HIT_total_pct,       67.571
BTB_OFF_PATH_HIT_sum_count,        158255
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        309389
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.70
BTB_OFF_PATH_HIT_stddev,         0.64
BTB_OFF_PATH_HIT_total_mean,         0.68
BTB_OFF_PATH_HIT_total_stddev,         0.62

BTB_ON_PATH_WRITE_count,          7190
BTB_ON_PATH_WRITE_pct,       97.162
BTB_ON_PATH_WRITE_total_count,         13557
BTB_ON_PATH_WRITE_total_pct,       94.533

BTB_OFF_PATH_WRITE_count,           210
BTB_OFF_PATH_WRITE_pct,        2.838
BTB_OFF_PATH_WRITE_total_count,           784
BTB_OFF_PATH_WRITE_total_pct,        5.467
BTB_OFF_PATH_WRITE_sum_count,          7400
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         14341
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.03
BTB_OFF_PATH_WRITE_stddev,         0.16
BTB_OFF_PATH_WRITE_total_mean,         0.05
BTB_OFF_PATH_WRITE_total_stddev,         0.22

BP_ON_PATH_CORRECT_count,       9640935
BP_ON_PATH_CORRECT_pct,       99.971
BP_ON_PATH_CORRECT_total_count,      19406508
BP_ON_PATH_CORRECT_total_pct,       99.965

BP_ON_PATH_MISPREDICT_count,          2416
BP_ON_PATH_MISPREDICT_pct,        0.025
BP_ON_PATH_MISPREDICT_total_count,          6102
BP_ON_PATH_MISPREDICT_total_pct,        0.031

BP_ON_PATH_MISFETCH_count,           385
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           612
BP_ON_PATH_MISFETCH_total_pct,        0.003
BP_ON_PATH_MISFETCH_sum_count,       9643736
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,      19413222
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.02
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.02

BP_OFF_PATH_CORRECT_count,        147940
BP_OFF_PATH_CORRECT_pct,       93.482
BP_OFF_PATH_CORRECT_total_count,        288504
BP_OFF_PATH_CORRECT_total_pct,       93.250

BP_OFF_PATH_MISPREDICT_count,           985
BP_OFF_PATH_MISPREDICT_pct,        0.622
BP_OFF_PATH_MISPREDICT_total_count,          2968
BP_OFF_PATH_MISPREDICT_total_pct,        0.959

